User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
24491,Rightside_window_user_id_24491_1,Rightside_window,Distracted Behavior,0:00,0:17,N/A,Hat
,,Rightside_window,Distracted Behavior,0:18,0:45,3,Hat
,,Rightside_window,Distracted Behavior,0:45,0:54,14,Hat
,,Rightside_window,Distracted Behavior,1:14,1:45,2,Hat
,,Rightside_window,Distracted Behavior,1:53,1:57,8,Hat
,,Rightside_window,Distracted Behavior,2:17,2:46,5,Hat
,,Rightside_window,Distracted Behavior,2:53,2:57,11,Hat
,,Rightside_window,Distracted Behavior,3:16,3:47,17,Hat
,,Rightside_window,Distracted Behavior,3:54,3:59,7,Hat
,,Rightside_window,Distracted Behavior,4:22,4:34,15,Hat
,,Rightside_window,Distracted Behavior,4:45,4:49,9,Hat
,,Rightside_window,Distracted Behavior,5:03,5:18,0,Hat
,,Rightside_window,Distracted Behavior,5:56,6:04,4,Hat
,,Rightside_window,Distracted Behavior,6:26,6:39,1,Hat
,,Rightside_window,Distracted Behavior,6:51,6:54,10,Hat
,,Rightside_window,Distracted Behavior,7:24,7:39,16,Hat
,,Rightside_window,Distracted Behavior,8:06,8:35,6,Hat
,,Rightside_window,Distracted Behavior,8:36,8:44,12,Hat
,,Rightside_window,Distracted Behavior,9:04,9:12,13,Hat
,Rightside_window_user_id_24491_0,Rightside_window,Distracted Behavior,0:00,2:00,N/A,No
,,Rightside_window,Distracted Behavior,2:06,2:26,3,No
,,Rightside_window,Distracted Behavior,2:51,3:28,2,No
,,Rightside_window,Distracted Behavior,3:32,3:36,8,No
,,Rightside_window,Distracted Behavior,3:53,4:25,5,No
,,Rightside_window,Distracted Behavior,4:28,4:34,11,No
,,Rightside_window,Distracted Behavior,4:53,5:22,17,No
,,Rightside_window,Distracted Behavior,5:32,5:36,7,No
,,Rightside_window,Distracted Behavior,5:58,6:26,15,No
,,Rightside_window,Distracted Behavior,6:31,7:02,9,No
,,Rightside_window,Distracted Behavior,7:03,7:30,0,No
,,Rightside_window,Distracted Behavior,7:33,7:49,4,No
