User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
79336,Dashboard_User_id_79336_0, Dashboard, Distracted,0:00:00,0:01:28,NA,None
 ,, Dashboard, Distracted,0:01:31,0:01:51,2,None
 ,, Dashboard, Distracted,0:01:55,0:02:22,9,None
 ,, Dashboard, Distracted,0:02:26,0:02:51,11,None
 ,, Dashboard, Distracted,0:02:54,0:03:19,1,None
 , , Dashboard, Distracted,0:03:21,0:03:43,0,None
 , , Dashboard, Distracted,0:03:45,0:04:12,3,None
 , , Dashboard, Distracted,0:04:17,0:04:43,13,None
 , , Dashboard, Distracted,0:04:50,0:05:13,6,None
 , , Dashboard, Distracted,0:05:15,0:05:33,12,None
 , , Dashboard, Distracted,0:05:41,0:06:01,10,None
 , , Dashboard, Distracted,0:06:03,0:06:29,14,None
 , , Dashboard, Distracted,0:06:38,0:07:11,17,None
 , , Dashboard, Distracted,0:07:12,0:07:43,15,None
 , , Dashboard, Distracted,0:07:44,0:08:07,4,None
 , , Dashboard, Distracted,0:08:18,0:08:37,5,None
 , , Dashboard, Distracted,0:08:46,0:09:17,7,None
 , , Dashboard, Distracted,0:09:18,0:09:47,16,None
 , , Dashboard, Distracted,0:09:48,0:10:16,8,None
 , , Dashboard, Distracted,0:10:17,0:10:20,NA,None
 ,Rear_view_User_id_79336_0, Rear_view, Distracted,0:00:00,0:01:28,NA,None
 ,, Rear_view, Distracted,0:01:31,0:01:51,2,None
 ,, Rear_view, Distracted,0:01:55,0:02:22,9,None
 , , Rear_view, Distracted,0:02:26,0:02:51,11,None
 , , Rear_view, Distracted,0:02:54,0:03:19,1,None
 , , Rear_view, Distracted,0:03:21,0:03:43,0,None
 , , Rear_view, Distracted,0:03:45,0:04:12,3,None
 , , Rear_view, Distracted,0:04:17,0:04:43,13,None
 , , Rear_view, Distracted,0:04:50,0:05:13,6,None
 , , Rear_view, Distracted,0:05:15,0:05:33,12,None
 , , Rear_view, Distracted,0:05:41,0:06:01,10,None
 , , Rear_view, Distracted,0:06:03,0:06:29,14,None
 , , Rear_view, Distracted,0:06:38,0:07:11,17,None
 , , Rear_view, Distracted,0:07:12,0:07:43,15,None
 , , Rear_view, Distracted,0:07:44,0:08:07,4,None
 , , Rear_view, Distracted,0:08:18,0:08:37,5,None
,, Rear_view, Distracted,0:08:46,0:09:17,7,None
,, Rear_view, Distracted,0:09:18,0:09:47,16,None
,, Rear_view, Distracted,0:09:48,0:10:16,8,None
,, Rear_view, Distracted,0:10:17,0:10:18,NA,None
 ,Rightside_window_User_id_79336_0, Rightside_window, Distracted,0:00:00,0:01:28,NA,None
,, Rightside_window, Distracted,0:01:31,0:01:51,2,None
 , , Rightside_window, Distracted,0:01:55,0:02:22,9,None
 , , Rightside_window, Distracted,0:02:26,0:02:51,11,None
 , , Rightside_window, Distracted,0:02:54,0:03:19,1,None
 , , Rightside_window, Distracted,0:03:21,0:03:43,0,None
 , , Rightside_window, Distracted,0:03:45,0:04:12,3,None
 , , Rightside_window, Distracted,0:04:17,0:04:43,13,None
 , , Rightside_window, Distracted,0:04:50,0:05:13,6,None
 , , Rightside_window, Distracted,0:05:15,0:05:33,12,None
 , , Rightside_window, Distracted,0:05:41,0:06:01,10,None
 , , Rightside_window, Distracted,0:06:03,0:06:29,14,None
 , , Rightside_window, Distracted,0:06:38,0:07:11,17,None
 , , Rightside_window, Distracted,0:07:12,0:07:43,15,None
 , , Rightside_window, Distracted,0:07:44,0:08:07,4,None
 , , Rightside_window, Distracted,0:08:18,0:08:37,5,None
 , , Rightside_window, Distracted,0:08:46,0:09:17,7,None
 , , Rightside_window, Distracted,0:09:18,0:09:47,16,None
 , , Rightside_window, Distracted,0:09:48,0:10:16,8,None
 ,, Rightside_window, Distracted,0:10:17,0:10:23,NA,None
 ,Dashboard_User_id_79336_2, Dashboard, Distracted,0:00:00,0:00:04,NA,Hat
 ,, Dashboard, Distracted,0:00:10,0:00:38,2,Hat
 , , Dashboard, Distracted,0:00:40,0:01:05,9,Hat
